id_acao;ano_exercicio;cd_acao;nome
36802;2014;1087;MAGISTRA - ESCOLA DE FORMACAO E DESENVOLVIMENTO PROFISSIONAL DE EDUCADORES - ENSINO MEDIO
36803;2014;2032;DESENVOLVIMENTO DO ENSINO MEDIO -  ESCOLA  ESTADUAL ORDEM  E PROGRESSO
36804;2015;4128;FORMACAO DE PROFISSIONAIS EM NIVEL TECNICO, TECNOLOGOS E POS-GRADUACAO
36805;2016;4650;PLUG MINAS
36806;2016;4264;ENSINO DE GRADUACAO
36807;2013;1328;CONSTRUCAO, AMPLIACAO E REFORMA DAS UNIDADES E DOS CAMPI DA UEMG
36808;2013;4244;BOLSAS A ALUNOS CARENTES DAS FUNDACOES ASSOCIADAS A UEMG - PROUEMG
36809;2013;4246;RESERVA DE VAGAS NA UEMG - PROCAN
36810;2014;4249;EXTENSAO UNIVERSITARIA - PAEX
36811;2015;4249;EXTENSAO UNIVERSITARIA - PAEX
36812;2016;2131;PAGAMENTO DE PESSOAL DA EDUCACAO INFANTIL
36813;2014;1020;ALFABETIZACAO DE JOVENS E ADULTOS
36814;2016;2138;PAGAMENTO DE PESSOAL DA EDUCACAO DE JOVENS E ADULTOS - MAGISTERIO
36815;2014;4570;DESENVOLVIMENTO DA EDUCACAO DE JOVENS E ADULTOS
36816;2015;4570;DESENVOLVIMENTO DA EDUCACAO DE JOVENS E ADULTOS
36817;2016;2136;PAGAMENTO DE PESSOAL DA EDUCACAO ESPECIAL - APOIO ADMINISTRATIVO
36818;2013;2092;APOIO ADMINISTRATIVO A EDUCACAO ESPECIAL
36819;2015;4164;APOIO AO DESENVOLVIMENTO DA PESQUISA CIENTIFICA
36820;2014;4250;APOIO A PROJETOS DE PESQUISA CIENTIFICA - PAPQ
36821;2014;4119;AMPLIACAO E ATUALIZACAO DO  ACERVO DAS BIBLIOTECAS
36822;2013;4233;FORMACAO DE MESTRES E DOUTORES
36823;2014;4233;FORMACAO DE MESTRES E DOUTORES
36824;2013;2103;TRANSPORTE ESCOLAR
36825;2016;1131;CURSO TECNICO DE CONSERVACAO E RESTAURO
36826;2014;4200;RESTAURACAO DE DIREITOS HUMANOS
36827;2015;4200;NUCLEO DE ATENDIMENTO AS VITIMAS DE CRIMES VIOLENTOS - NAVCV
36828;2013;4645;PROGRAMA DE PROTECAO AOS DEFENSORES DE DIREITOS HUMANOS - PPDDH
36829;2016;4041;ATENDIMENTO EFICAZ DAS DEMANDAS DO CIDADAO
36830;2016;4047;INDENIZACOES A VITIMAS DE VIOLACAO DE DIREITOS HUMANOS
36831;2016;4544;OPERACIONALIZACAO DA CASA DE DIREITOS HUMANOS
36832;2014;4082;REDE COMPLEMENTAR DE SUPORTE SOCIAL E ATENCAO AO DEPENDENTE QUIMICO: PREVENCAO E TRATAMENTO DO CONSU
36833;2016;4132;ACESSO A TERRA E DESENVOLVIMENTO SUSTENTAVEL DE POVOS E COMUNIDADES TRADICIONAIS
36834;2014;4251;GESTAO PARA GARANTIA DOS DIREITOS DO CIDADAO
36835;2015;4380;PROMOCAO DO DIREITO A MEMORIA, A VERDADE E A JUSTICA
36836;2013;4695;APOIO AS ACOES DO FUNDO DE DEFESA DOS DIREITOS DIFUSOS
36837;2014;4695;APOIO AS ACOES DO FUNDO DE DEFESA DOS DIREITOS DIFUSOS
36838;2015;4695;APOIO AS ACOES DO FUNDO DE DEFESA DOS DIREITOS DIFUSOS
36839;2014;2025;APOIO LOGISTICO AOS CONSELHOS
36840;2015;1120;NOVA METROPOLE - EXPANSAO DA MOBILIDADE URBANA NA RMBH
36841;2014;1222;PLANO MACROESTRUTURAL DO VETOR NORTE DA RMBH
36842;2014;1011;DESAPROPRIACAO E REMOCAO DE FAMILIAS NO AMBITO DO PROGRAMA DE DESPOLUICAO DA LAGOA DA PAMPULHA - MET
36843;2013;4310;PREVENCAO EM AREAS DE RISCO AFETADAS PELAS CHUVAS
36844;2015;4310;CONTENCAO DE ENCOSTAS EM AREAS DE RISCO
36845;2016;4479;APOIO A COOPERACAO ENTRE MUNICIPIOS
36846;2014;4503;APOIO A ELABORACAO E/OU IMPLEMENTACAO DE INSTRUMENTOS DE PLANEJAMENTO URBANO
36847;2014;4506;ACOES URBANISTICAS PONTUAIS
36848;2014;4515;ASSESSORAMENTO, CAPACITACAO E ACOMPANHAMENTO DE GESTORES MUNICIPAIS E TECNICOS DAS ASSOCIACOES MICRO
36849;2015;1003;TERMINAIS METROPOLITANOS DE INTEGRACAO DO TRANSPORTE PUBLICO COLETIVO
36850;2014;4476;APOIO A GESTAO PLENA DA POLITICA HABITACIONAL MUNICIPAL
36851;2013;4010;MANUTENCAO DO SISTEMA ESTADUAL DE INFORMACOES DE SANEAMENTO - SEIS
